,"WRE 6512 ZSS  (серый, 85x60x42, 1000 об/мин, меню на рус,  дисплей) ",,"18,500",СТИРАЛЬНЫЕ МАШИНЫ на 6 кг
,"WKY 61032 SYB1 (серый, хром.люк, 1000 об, дисплей)",,"18,700",СТИРАЛЬНЫЕ МАШИНЫ на 6 кг
,"WKY 71031 PTLYW2 (белый, 84х60х50, 1000 об/мин, дисплей, меню на русском) ",,"21,400",СТИРАЛЬНЫЕ МАШИНЫ на 7 кг
,"WRE 7511 XSW (белый, люк серый  84х60х45, 1000 об/мин,  без дисплея)",,"18,500",СТИРАЛЬНЫЕ МАШИНЫ на 7 кг
,"WRE 7512 XSW (белый, люк серый  84х60х45, 1000 об/мин, дисплей, меню на русском)",,"20,100",СТИРАЛЬНЫЕ МАШИНЫ на 7 кг
,"WRE 7512 XSS (серый,  84х60х45, 1000 об/мин, дисплей, меню на русском)",,"21,100",СТИРАЛЬНЫЕ МАШИНЫ на 7 кг
,"WKY 71031 PTLYSB2 (серый, люк-черный, 84х60х50, 1000 об/мин, дисплей) ",,"21,900",СТИРАЛЬНЫЕ МАШИНЫ на 7 кг
,"WKY 71233 LANYB4 (антрацит, 85х60х50, 1200 об/мин, дисплей, меню на рус., А+++)  ",,"24,200",СТИРАЛЬНЫЕ МАШИНЫ на 7 кг
,"WKY 71091 LYB2 Superia (белый, 84х60x45, 1000 об/мин, LED дисплей, плавный регулятор) ",,"23,000",СТИРАЛЬНЫЕ МАШИНЫ на 7 кг
,"WITC 7612 B0W (белый, 82х60х57, 1200 об/мин, LCD дисплей, 15 прогр)",,"26,500",ВСТРАИВАЕМЫЕ СТИРАЛЬНЫЕ МАШИНЫ на 7 кг
,"WTV 8602 XS0X (серый, 15 прог, 1200 об, LCD дисплей, А+++, широкий люк)",,"28,600",СТИРАЛЬНЫЕ МАШИНЫ на 8 кг
,"WTV 8633 XSO (белый, 16 прог, 1200 об, LCD дисплей, инверторный двигатель, долговечный тэн)",,"29,500",СТИРАЛЬНЫЕ МАШИНЫ на 8 кг
,"WTV 8633 XB (белый, люк черный, 16 прог, 1200 об, LCD дисплей)",,"30,000",СТИРАЛЬНЫЕ МАШИНЫ на 8 кг
,"WTV 8734 XC0M (антрацит, 16 прог, 1400 об,  LCD дисплей)",,"35,500",СТИРАЛЬНЫЕ МАШИНЫ на 8 кг
,"WTV 8612 XSS (серый, 15 прог, 1200 об, LCD дисплей)",,"27,200",СТИРАЛЬНЫЕ МАШИНЫ на 8 кг
,"WITV 8712 X0W (белый, 82х60х57, 1400 об/мин, LCD дисплей, 15 прогр)",,"30,000",ВСТРАИВАЕМЫЕ СТИРАЛЬНЫЕ МАШИНЫ на 8 кг
,"WTV 9612 XS (белый, 1200 об, LCD дисплей, 15 прог, А+++, пр-во Турция)",,"28,800",СТИРАЛЬНЫЕ МАШИНЫ на 9 кг
,"WTV 9633 XSO (белый, 16 прог, 1200 об, LCD дисплей, инверторный двигатель, долговечный тэн) ",,"31,100",СТИРАЛЬНЫЕ МАШИНЫ на 9 кг
,"WDA 96143 H (с сушкой, цв.белый, 1400 об., LCD дисплей)",,"53,000",СТИРАЛЬНЫЕ МАШИНЫ на 9 кг
,"WTE 10744 XW0   (цв.белый, люк-черный,84х60x64см, 1400 об/мин, LCD дисплей, 16 пр) ",,"41,700",СТИРАЛЬНЫЕ МАШИНЫ на 10 кг
,"WTE 12744 XW0   (цв.белый, люк-черный,84х60x64см, 1400 об/мин, LCD дисплей, 16 пр) ",,"46,000",СТИРАЛЬНЫЕ МАШИНЫ на 12 кг
,"DV 7110 (7 кг, белый, люк квадратный)",,"17,700",СУШИЛЬНЫЕ МАШИНЫ
,"DU 7133 GAO (7 кг, белый, LCD дисплей, 16 программ)",,"28,800",СУШИЛЬНЫЕ МАШИНЫ
,"DCU 7230  (7 кг,цв белый, 7 пр)",,"23,000",СУШИЛЬНЫЕ МАШИНЫ
,"DCY 8402 XW3 (8 кг, белый цв. , дисплей есть, 11 программ)",,"31,100",СУШИЛЬНЫЕ МАШИНЫ
,"DPY 8405GXHB2 (8кг, белый цв. дисплей)",,"42,600",СУШИЛЬНЫЕ МАШИНЫ
,"DCY 9316 W (9 кг, белый цв, дисплей, 16 пр)",,"31,100",СУШИЛЬНЫЕ МАШИНЫ
,"DU 9133 GAO (9 кг, белый, дисплей есть, 16 программ)",,"36,900",СУШИЛЬНЫЕ МАШИНЫ
,"DFN 05311 W Superia (белый, 12 персон,85х60х60, 5 программ, класс А+)",,"21,100",ПОСУДОМОЕЧНЫЕ МАШИНЫ на 60 см
,"DFN 05311 S Superia (серый, 12 персон,85х60х60, 5 программ, класс А+)",,"21,900",ПОСУДОМОЕЧНЫЕ МАШИНЫ на 60 см
,"DFN 16410 W Superia (белый, 14 персон, 85х60х60, дисплей)",,"27,100",ПОСУДОМОЕЧНЫЕ МАШИНЫ на 60 см
,"DFN 16410 B Superia (черный, 14 персон, 85х60х60, дисплей)",,"28,800",ПОСУДОМОЕЧНЫЕ МАШИНЫ на 60 см
,"DFN 16410 X Superia (стальной, 14 персон, 85х60х60, дисплей)",,"29,500",ПОСУДОМОЕЧНЫЕ МАШИНЫ на 60 см
,"DFN 05210 B Superia (черный, 12 персон, 85х60х60, 7 программ)",,"21,900",ПОСУДОМОЕЧНЫЕ МАШИНЫ на 60 см
,"DFN 16210 W Superia (белый, 12 персон, 85х60х60, дисплей)",,"25,400",ПОСУДОМОЕЧНЫЕ МАШИНЫ на 60 см
,"DFN 16210 B Superia (черный, 12 персон, 85х60х60, дисплей)",,"32,800",ПОСУДОМОЕЧНЫЕ МАШИНЫ на 60 см
,"DFN 16210 X Superia (стальной, 12 персон, 85х60х60, дисплей)",,"31,000",ПОСУДОМОЕЧНЫЕ МАШИНЫ на 60 см
,"DFN 26220 X Superia (стальной, 12 персон, 85х60х60, дисплей, 6 программ, А++)",,"32,100",ПОСУДОМОЕЧНЫЕ МАШИНЫ на 60 см
,"DFN 26420 X Superia (стальной, 14 персон, 85х60х60, дисплей, 6 программ, А++)",,"30,400",ПОСУДОМОЕЧНЫЕ МАШИНЫ на 60 см
,"DFN 28330 B Superia (черный, 13 персон, 85х60х60, дисплей, 8 программ, А+++)",,"40,300",ПОСУДОМОЕЧНЫЕ МАШИНЫ на 60 см
,"DFN 28330 X Superia (стальной, 13 персон, 85х60х60, дисплей, 8 программ, А+++)",,"39,800",ПОСУДОМОЕЧНЫЕ МАШИНЫ на 60 см
,"DFN 28330 WAD Superia (белый, 13 персон, 85х60х60, дисплей, 8 программ, А+++)",,"32,900",ПОСУДОМОЕЧНЫЕ МАШИНЫ на 60 см
,"DFS 05010 W Superia (белый,10 персон, 85х45х57, без дисплея)",,"19,700",ПОСУДОМОЕЧНЫЕ МАШИНЫ УЗКИЕ 45см
,"DFS 05011 X Superia (стальной,10 персон, 85х45х57, 5 прог, без дисплея, A+)",,"21,400",ПОСУДОМОЕЧНЫЕ МАШИНЫ УЗКИЕ 45см
,"DFS 05012 W Superia (белый,10 персон, 85х45х57, 5 прог, без дисплея, A+)",,"19,600",ПОСУДОМОЕЧНЫЕ МАШИНЫ УЗКИЕ 45см
,"DFS 26010 W Superia (белый,10 персон, 85х45х57, 6 прог, LCD дисплей, A)",,"24,700",ПОСУДОМОЕЧНЫЕ МАШИНЫ УЗКИЕ 45см
,"DSFS 4530 X  (стальной, 10 персон, 85х45х57, турбосушка, экспресс мойка, 5 прогр)",,"28,200",ПОСУДОМОЕЧНЫЕ МАШИНЫ УЗКИЕ 45см
,"DIN 25410 (14 персон, 5 программ, LCD дисплей, A+, ВШГ: 81,5х59,8х55,0)",,"24,600",ВСТРАИВАЕМЫЕ ПОСУДОМОЕЧНЫЕ МАШИНЫ на 60 см
,"DSN 15420 X (стальной, 14 персон, 5 программ, А++, инверторный мотор)",,"28,500",ВСТРАИВАЕМЫЕ ПОСУДОМОЕЧНЫЕ МАШИНЫ на 60 см
,"DSN 04210 X (стальной, 82,5х60х57, 12 персон, класс А)",,"25,400",ВСТРАИВАЕМЫЕ ПОСУДОМОЕЧНЫЕ МАШИНЫ на 60 см
,"DSN 04310 X (стальной, 82,5х60х57, 12 персон, класс А+)",,"25,400",ВСТРАИВАЕМЫЕ ПОСУДОМОЕЧНЫЕ МАШИНЫ на 60 см
